Timestamp,Generator,Fuel,Output_MW
Hour 12,BRUCEA-G1,NUCLEAR,825.0
Hour 12,BRUCEA-G2,NUCLEAR,823.0
Hour 12,BRUCEA-G3,NUCLEAR,0.0
Hour 12,BRUCEA-G4,NUCLEAR,0.0
Hour 12,BRUCEB-G5,NUCLEAR,808.0
Hour 12,BRUCEB-G6,NUCLEAR,826.0
Hour 12,BRUCEB-G7,NUCLEAR,828.0
Hour 12,BRUCEB-G8,NUCLEAR,0.0
Hour 12,DARLINGTON-G1,NUCLEAR,862.0
Hour 12,DARLINGTON-G2,NUCLEAR,874.0
Hour 12,DARLINGTON-G3,NUCLEAR,880.0
Hour 12,DARLINGTON-G4,NUCLEAR,0.0
Hour 12,PICKERINGB-G5,NUCLEAR,519.0
Hour 12,PICKERINGB-G6,NUCLEAR,517.0
Hour 12,PICKERINGB-G7,NUCLEAR,526.0
Hour 12,PICKERINGB-G8,NUCLEAR,522.0
Hour 12,BRIGHTON BEACH,GAS,628.0
Hour 12,CARDINAL,GAS,0.0
Hour 12,COCHRANECGS,GAS,0.0
Hour 12,DESTEC,GAS,0.0
Hour 12,DOWCHEMICAL,GAS,23.0
Hour 12,DPNTMTLND,GAS,0.0
Hour 12,EAST WINDSOR-G1,GAS,0.0
Hour 12,EAST WINDSOR-G2,GAS,0.0
Hour 12,GREENFIELD ENERGY CENTRE-G1,GAS,0.0
Hour 12,GREENFIELD ENERGY CENTRE-G2,GAS,199.0
Hour 12,GREENFIELD ENERGY CENTRE-G3,GAS,0.0
Hour 12,GREENFIELD ENERGY CENTRE-G4,GAS,109.0
Hour 12,GREENFIELD SOUTH-G1,GAS,126.0
Hour 12,GREENFIELD SOUTH-G2,GAS,81.0
Hour 12,GTAA-G1,GAS,34.0
Hour 12,GTAA-G2,GAS,34.0
Hour 12,GTAA-G3,GAS,0.0
Hour 12,HALTONHILLS-LT.G1,GAS,234.0
Hour 12,HALTONHILLS-LT.G2,GAS,235.0
Hour 12,HALTONHILLS-LT.G3,GAS,282.0
Hour 12,HYDROGEN READY POWER PLANT (HRPP),GAS,0.0
Hour 12,KAPGS,GAS,0.0
Hour 12,LAKESUPERIOR,GAS,42.0
Hour 12,LENNOX-G1,GAS,0.0
Hour 12,LENNOX-G2,GAS,0.0
Hour 12,LENNOX-G3,GAS,0.0
Hour 12,LENNOX-G4,GAS,0.0
Hour 12,NAPANEE-G1,GAS,284.0
Hour 12,NAPANEE-G2,GAS,283.0
Hour 12,NAPANEE-G3,GAS,367.0
